FID,COUNTRY,ISO_CODE,ISO_CC,ISO_SUB,NUTS_ID,CNTR_CODE,EFAS_name,ID
714,Lebanon,LBJL,LB,JL, , ,Mont-Liban,704
717,Serbia,RS17,RS,17, , ,Moravica,707
1386, , , , ,CZ080,CZ,Moravskoslezsky kraj,1393
1522, , , , ,FR524,FR,Morbihan,1531
1738, , , , ,NO053,NO,More og Romsdal,1622
1506, , , , ,FR413,FR,Moselle,1515
721,Russian Federation,RUMOS,RU,MOS, , ,Moskovskaya oblast,711
722,Russian Federation,RUMOW,RU,MOW, , ,Moskva,712
1273,Algeria,DZ27,DZ,27, , ,Mostaganem,1128
723,Algeria,DZ28,DZ,28, , ,Msila,713
724,Georgia,GEMM,GE,MM, , ,Mtskheta-Mtianeti,714
725,Turkey,TR48,TR,48, , ,Mugla,715
726,Turkey,TR48,TR,48, , ,Mugla,716
727,Turkey,TR48,TR,48, , ,Mugla,717
1,Ireland,IEM,IE,M, , ,Munster,69
2,Ireland,IEM,IE,M, , ,Munster,70
74,Ireland,IEM,IE,M, , ,Munster,71
876, , , , ,DEA3,DE,Munster,1181
75,Spain,ESMU,ES,MU, , ,Murcia,72
76,Spain,ESMU,ES,MU, , ,Murcia,73
77,Spain,ESMU,ES,MU, , ,Murcia,74
1452, , , , ,ES620,ES,Murcia,1459
1643, , , , ,RO125,RO,Mures,1666
355,Russian Federation,RUMUR,RU,MUR, , ,Murmanskaya oblast,718
